epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.90674,2.87215,7.85729,0.00419,0.01542,0.26369,0.00994,0.0024,3.58968,7.11624,0.00874,6e-05,6e-05,0.08806
2,3.65138,2.60931,5.03053,0.00356,0.03327,0.56872,0.08617,0.02449,2.82794,6.83899,0.00585,0.000124307,0.000124307,0.0751243
3,5.39034,2.48204,4.19281,0.00327,0.04442,0.32626,0.05482,0.01509,3.12353,7.53371,0.00723,0.000185815,0.000185815,0.0621858
4,7.1023,2.36725,3.89581,0.00322,0.04684,0.52514,0.12121,0.0364,2.86415,7.00734,0.00589,0.000242493,0.000242493,0.0492425
5,8.91303,2.46647,3.59984,0.00302,0.0402,0.68715,0.17987,0.05982,2.50905,6.06076,0.00529,0.000292498,0.000292498,0.0362925
6,10.6421,2.37377,3.57202,0.00296,0.04209,0.71955,0.21885,0.07412,2.51944,5.06977,0.00519,0.000334256,0.000334256,0.0233343
7,12.3417,2.38544,3.49368,0.00284,0.19759,0.62123,0.30267,0.11819,2.25329,4.27459,0.00435,0.000366527,0.000366527,0.0103665
8,14.045,2.29525,3.41547,0.00274,0.43621,0.40894,0.35537,0.1465,2.11998,3.60187,0.0039,0.000377148,0.000377148,0.000377148
9,15.8287,2.31145,3.40725,0.00284,0.44312,0.43464,0.40019,0.18023,2.06584,3.30434,0.00379,0.000344529,0.000344529,0.000344529
10,17.5275,2.24877,3.40083,0.00268,0.47849,0.45587,0.44409,0.20403,2.00339,3.24561,0.00353,0.000310198,0.000310198,0.000310198
11,23.3118,1.99317,3.71596,0.00292,0.49459,0.46469,0.45124,0.19293,2.08318,3.28959,0.00363,0.000275,0.000275,0.000275
12,24.8651,1.97336,3.51382,0.00295,0.49685,0.47995,0.45619,0.19236,2.11506,3.33008,0.00367,0.000239802,0.000239802,0.000239802
13,26.3962,1.99373,3.47668,0.00296,0.48256,0.48045,0.45049,0.21264,1.97493,3.29783,0.00365,0.000205471,0.000205471,0.000205471
14,28.0713,1.85066,3.33707,0.0028,0.4888,0.48939,0.45918,0.22213,1.93404,3.26077,0.00353,0.000172852,0.000172852,0.000172852
15,29.6266,1.94328,3.29698,0.00275,0.49386,0.49169,0.4679,0.22523,1.94083,3.21446,0.00344,0.000142748,0.000142748,0.000142748
16,31.1924,1.93444,3.27615,0.00281,0.51047,0.48492,0.46419,0.22208,1.96752,3.15486,0.00347,0.000115901,0.000115901,0.000115901
17,32.7371,1.83548,3.17794,0.00271,0.5163,0.48045,0.4589,0.21981,1.9951,3.07577,0.00359,9.29712e-05,9.29712e-05,9.29712e-05
18,34.3818,1.86977,3.15198,0.0027,0.49745,0.46592,0.45258,0.21325,2.01193,3.05645,0.00374,7.45235e-05,7.45235e-05,7.45235e-05
19,35.9384,1.91173,3.20435,0.00283,0.48802,0.48156,0.45132,0.21176,2.02353,3.05437,0.0038,6.10123e-05,6.10123e-05,6.10123e-05
20,37.5036,1.84977,3.12303,0.00272,0.48809,0.48366,0.45681,0.21574,2.00568,3.05809,0.00369,5.27701e-05,5.27701e-05,5.27701e-05
